,CenterLatitude,CenterLongitude
852,55.08635,8.57675
853,55.20925,11.23325
854,54.18215,12.09075
855,54.18045,12.09425
856,54.18105,12.09425
857,54.18145,12.09075
858,54.17695,12.09425
859,54.17535,12.09425
860,54.17565,12.09425
861,54.17595,12.09425
862,54.49895,10.27425
863,54.17685,12.09425
864,54.56265,11.24375
865,54.49955,10.27425
866,54.55085,11.26475
867,55.35715,13.14775
868,56.03945,12.64025
869,56.03815,12.64375
870,56.03585,12.64725
871,56.03595,12.65075
872,56.03525,12.65425
873,54.55045,11.26825
874,56.03655,12.65075
875,55.35555,13.14775
876,56.97815,8.92325
877,54.55015,11.26825
878,56.56405,11.26125
879,56.56475,11.26475
880,56.03545,12.65075
881,55.35385,13.14425
882,56.03365,12.65425
883,54.54955,11.27175
884,55.08675,8.57325
885,56.03495,12.65425
886,56.97625,8.92325
887,54.54925,11.27175
888,55.35235,13.14425
889,54.54895,11.27525
890,56.03315,12.65425
891,54.54845,11.27525
892,55.35055,13.14425
893,54.54805,11.27875
894,54.54775,11.27875
895,56.03145,12.65425
896,54.17705,12.09425
897,54.18415,12.09075
898,54.18245,12.09075
899,54.18315,12.09075
900,54.18355,12.09075
901,55.21145,11.22975
902,55.21215,11.22625
903,55.34805,13.14425
904,54.54745,11.28225
905,56.03095,12.65775
906,56.02945,12.65775
907,56.03045,12.65775
908,55.34645,13.14075
909,55.36885,13.15125
910,55.36855,13.15125
911,54.55975,11.24725
912,55.21285,11.22625
913,55.08505,8.58025
914,54.55865,11.25075
915,55.21355,11.22625
916,54.55825,11.25075
917,55.21435,11.22275
918,55.36655,13.15125
919,54.55685,11.25075
920,55.08495,8.58025
921,55.21575,11.21925
922,54.55605,11.25075
923,55.36515,13.15125
924,56.05075,12.63325
925,56.04985,12.63325
926,56.04915,12.63325
927,54.55525,11.25425
928,55.36485,13.15125
929,54.55455,11.25425
930,54.55395,11.25425
931,54.53965,11.66725
932,55.36315,13.15125
933,54.55285,11.25775
934,54.53925,11.66725
935,54.55245,11.25775
936,55.48815,7.83475
937,55.36095,13.14775
938,55.08595,8.57675
939,54.55185,11.26125
940,56.98035,8.91975
941,55.35945,13.14775
942,55.48845,7.83475
943,54.55155,11.26125
944,54.55125,11.26475
945,56.03765,12.64725
946,54.51995,11.24025
947,54.51885,11.24025
948,54.51755,11.24025
949,54.51635,11.24025
950,54.51525,11.24025
951,54.51455,11.23675
952,54.51385,11.23675
953,54.51315,11.23675
954,54.51245,11.23675
955,54.51175,11.23675
956,56.04775,12.63675
957,56.04635,12.63675
958,54.50355,11.22625
959,54.54685,11.28225
960,55.49795,7.82425
961,56.02765,12.66125
962,54.54645,11.28575
963,55.34495,13.14075
964,54.54625,11.28575
965,56.02955,12.65775
966,55.08735,8.56975
967,55.49835,7.82425
968,55.34425,13.13725
969,54.54565,11.28925
970,56.02575,12.66125
971,54.53735,11.24725
972,54.53665,11.24725
973,54.53575,11.24725
974,54.53455,11.24725
975,54.53335,11.24725
976,54.53275,11.24725
977,54.53215,11.24375
978,54.53085,11.24375
979,54.52975,11.24375
980,54.52915,11.24375
